File: fifo_barbershop_A
Type: cpu
Time: Oct 9, 2018 at 10:40pm (PDT)
Duration: 254.84ms, Total samples = 20.95ms ( 8.22%)
Showing nodes accounting for 19.46ms, 92.89% of 20.95ms total
Dropped 214 nodes (cum <= 0.10ms)
    0.07ms  0.33% 90.69%     0.61ms  2.91%  runtime.lock
    0.06ms  0.29% 90.98%     5.70ms 27.21%  runtime.systemstack
    0.05ms  0.24% 91.22%     0.36ms  1.72%  runtime.(*mcache).nextFree
    0.04ms  0.19% 91.41%     0.87ms  4.15%  runtime.mallocgc
    0.04ms  0.19% 91.60%     0.16ms  0.76%  runtime.markroot
    0.03ms  0.14% 91.74%     4.42ms 21.10%  main.main.func2
    0.03ms  0.14% 91.89%     0.26ms  1.24%  runtime.isSystemGoroutine
    0.02ms 0.095% 91.98%     0.31ms  1.48%  runtime.(*mcentral).cacheSpan
    0.02ms 0.095% 92.08%     0.17ms  0.81%  runtime.funcname
    0.02ms 0.095% 92.17%     0.31ms  1.48%  runtime.gcAssistAlloc
    0.02ms 0.095% 92.27%     4.41ms 21.05%  runtime.mcall
    0.02ms 0.095% 92.36%     0.21ms  1.00%  runtime.newobject
    0.02ms 0.095% 92.46%     0.45ms  2.15%  runtime.runqsteal
    0.01ms 0.048% 92.51%     0.30ms  1.43%  github.com/pkg/profile.Start
    0.01ms 0.048% 92.55%     0.36ms  1.72%  runtime.gcDrain
    0.01ms 0.048% 92.60%     0.29ms  1.38%  runtime.gcDrainN
    0.01ms 0.048% 92.65%     0.14ms  0.67%  runtime.gostringnocopy
    0.01ms 0.048% 92.70%     0.24ms  1.15%  runtime.heapBits.initSpan
    0.01ms 0.048% 92.74%     4.16ms 19.86%  runtime.newproc
    0.01ms 0.048% 92.79%     0.13ms  0.62%  runtime.ready
    0.01ms 0.048% 92.84%     4.19ms 20.00%  runtime.schedule
    0.01ms 0.048% 92.89%     2.02ms  9.64%  runtime.stackalloc
         0     0% 92.89%     0.16ms  0.76%  github.com/pkg/profile.Start.func2
         0     0% 92.89%     0.16ms  0.76%  log.Printf
         0     0% 92.89%     0.99ms  4.73%  os/signal.loop
         0     0% 92.89%     0.99ms  4.73%  os/signal.signal_recv
         0     0% 92.89%     0.31ms  1.48%  runtime.(*mcache).nextFree.func1
         0     0% 92.89%     0.31ms  1.48%  runtime.(*mcache).refill
         0     0% 92.89%     0.29ms  1.38%  runtime.(*mcentral).grow
         0     0% 92.89%     0.16ms  0.76%  runtime.(*mheap).allocSpanLocked
         0     0% 92.89%     0.30ms  1.43%  runtime.chanrecv1
         0     0% 92.89%     0.72ms  3.44%  runtime.chansend1
         0     0% 92.89%     0.58ms  2.77%  runtime.deferreturn
         0     0% 92.89%     0.29ms  1.38%  runtime.gcAssistAlloc.func1
         0     0% 92.89%     0.29ms  1.38%  runtime.gcAssistAlloc1
         0     0% 92.89%     0.47ms  2.24%  runtime.gcBgMarkWorker
         0     0% 92.89%     0.36ms  1.72%  runtime.gcBgMarkWorker.func2
         0     0% 92.89%     1.11ms  5.30%  runtime.goexit0
         0     0% 92.89%     0.13ms  0.62%  runtime.goready.func1
         0     0% 92.89%     0.93ms  4.44%  runtime.growslice
         0     0% 92.89%     4.55ms 21.72%  runtime.main
         0     0% 92.89%     2.48ms 11.84%  runtime.malg
         0     0% 92.89%     3.74ms 17.85%  runtime.mstart
         0     0% 92.89%     3.14ms 14.99%  runtime.mstart1
         0     0% 92.89%     0.17ms  0.81%  runtime.newm
         0     0% 92.89%     0.12ms  0.57%  runtime.newm1
         0     0% 92.89%     0.12ms  0.57%  runtime.newosproc
         0     0% 92.89%     2.94ms 14.03%  runtime.notesleep
         0     0% 92.89%     1.35ms  6.44%  runtime.notetsleep_internal
         0     0% 92.89%     1.35ms  6.44%  runtime.notetsleepg
         0     0% 92.89%     1.26ms  6.01%  runtime.notewakeup
         0     0% 92.89%     0.15ms  0.72%  runtime.osyield
         0     0% 92.89%     3.28ms 15.66%  runtime.park_m
         0     0% 92.89%     0.31ms  1.48%  runtime.parkunlock_c
         0     0% 92.89%     0.88ms  4.20%  runtime.resetspinning
         0     0% 92.89%     0.11ms  0.53%  runtime.selectnbsend
         0     0% 92.89%     1.64ms  7.83%  runtime.semawakeup
         0     0% 92.89%     1.99ms  9.50%  runtime.stackcacherefill
         0     0% 92.89%     1.31ms  6.25%  runtime.startm
         0     0% 92.89%     0.53ms  2.53%  runtime.stoplockedm
         0     0% 92.89%     2.15ms 10.26%  runtime.stopm
         0     0% 92.89%     2.71ms 12.94%  runtime.sysmon
         0     0% 92.89%     0.28ms  1.34%  runtime.templateThread
         0     0% 92.89%     0.33ms  1.58%  runtime.timerproc
         0     0% 92.89%     0.27ms  1.29%  runtime.typedmemmove
         0     0% 92.89%     1.29ms  6.16%  runtime.wakep
         0     0% 92.89%     1.84ms  8.78%  time.Now
         0     0% 92.89%     1.85ms  8.83%  time.now
