File: fifo_barbershop_A
Type: cpu
Time: Oct 9, 2018 at 10:40pm (PDT)
Duration: 204.93ms, Total samples = 4.84ms ( 2.36%)
Showing nodes accounting for 4.57ms, 94.42% of 4.84ms total
Dropped 57 nodes (cum <= 0.02ms)
         0     0% 94.42%     0.26ms  5.37%  github.com/pkg/profile.Start
         0     0% 94.42%     0.04ms  0.83%  github.com/pkg/profile.Start.func1
         0     0% 94.42%     0.14ms  2.89%  github.com/pkg/profile.Start.func2
         0     0% 94.42%     0.04ms  0.83%  io/ioutil.TempDir
         0     0% 94.42%     0.04ms  0.83%  io/ioutil.nextRandom
         0     0% 94.42%     0.08ms  1.65%  log.(*Logger).Output
         0     0% 94.42%     0.06ms  1.24%  log.(*Logger).formatHeader
         0     0% 94.42%     0.14ms  2.89%  log.Printf
         0     0% 94.42%     2.02ms 41.74%  main.main
         0     0% 94.42%     0.05ms  1.03%  main.main.func1
         0     0% 94.42%     0.69ms 14.26%  main.main.func2
         0     0% 94.42%     0.04ms  0.83%  os.Create
         0     0% 94.42%     0.04ms  0.83%  os.OpenFile
         0     0% 94.42%     0.04ms  0.83%  os.newFile
         0     0% 94.42%     0.04ms  0.83%  os.openFileNolog
         0     0% 94.42%     0.14ms  2.89%  os/signal.loop
         0     0% 94.42%     0.14ms  2.89%  os/signal.signal_recv
         0     0% 94.42%     0.19ms  3.93%  runtime.(*mcache).nextFree
         0     0% 94.42%     0.19ms  3.93%  runtime.(*mcache).nextFree.func1
         0     0% 94.42%     0.19ms  3.93%  runtime.(*mcache).refill
         0     0% 94.42%     0.19ms  3.93%  runtime.(*mcentral).cacheSpan
         0     0% 94.42%     0.19ms  3.93%  runtime.(*mcentral).grow
         0     0% 94.42%     0.03ms  0.62%  runtime.(*mheap).allocManual
         0     0% 94.42%     0.05ms  1.03%  runtime.allgadd
         0     0% 94.42%     0.03ms  0.62%  runtime.allocm
         0     0% 94.42%     0.04ms  0.83%  runtime.chanrecv
         0     0% 94.42%     0.04ms  0.83%  runtime.chanrecv1
         0     0% 94.42%     0.05ms  1.03%  runtime.chansend1
         0     0% 94.42%     0.05ms  1.03%  runtime.deferproc
         0     0% 94.42%     0.04ms  0.83%  runtime.deferreturn
         0     0% 94.42%     0.03ms  0.62%  runtime.execute
         0     0% 94.42%     0.11ms  2.27%  runtime.findrunnable
         0     0% 94.42%     0.05ms  1.03%  runtime.funcname
         0     0% 94.42%     0.07ms  1.45%  runtime.goexit0
         0     0% 94.42%     0.05ms  1.03%  runtime.gostringnocopy
         0     0% 94.42%     0.28ms  5.79%  runtime.growslice
         0     0% 94.42%     0.21ms  4.34%  runtime.heapBits.initSpan
         0     0% 94.42%     0.03ms  0.62%  runtime.largeAlloc
         0     0% 94.42%     2.02ms 41.74%  runtime.main
         0     0% 94.42%     1.30ms 26.86%  runtime.malg
         0     0% 94.42%     0.23ms  4.75%  runtime.mallocgc
         0     0% 94.42%     0.03ms  0.62%  runtime.mallocgc.func1
         0     0% 94.42%     0.03ms  0.62%  runtime.mcommoninit
         0     0% 94.42%     0.03ms  0.62%  runtime.minit
         0     0% 94.42%     0.03ms  0.62%  runtime.minitSignalMask
         0     0% 94.42%     0.03ms  0.62%  runtime.mpreinit
         0     0% 94.42%     1.05ms 21.69%  runtime.mstart
         0     0% 94.42%     1.01ms 20.87%  runtime.mstart1
         0     0% 94.42%     0.10ms  2.07%  runtime.newm
         0     0% 94.42%     0.07ms  1.45%  runtime.newm1
         0     0% 94.42%     0.07ms  1.45%  runtime.newosproc
         0     0% 94.42%     1.73ms 35.74%  runtime.newproc.func1
         0     0% 94.42%     0.05ms  1.03%  runtime.notesleep
         0     0% 94.42%     0.14ms  2.89%  runtime.notetsleep_internal
         0     0% 94.42%     0.14ms  2.89%  runtime.notetsleepg
         0     0% 94.42%     0.29ms  5.99%  runtime.notewakeup
         0     0% 94.42%     0.03ms  0.62%  runtime.osyield
         0     0% 94.42%     0.36ms  7.44%  runtime.park_m
         0     0% 94.42%     0.04ms  0.83%  runtime.runqgrab
         0     0% 94.42%     0.04ms  0.83%  runtime.runqsteal
         0     0% 94.42%     0.50ms 10.33%  runtime.schedule
         0     0% 94.42%     0.14ms  2.89%  runtime.selectnbsend
         0     0% 94.42%     0.19ms  3.93%  runtime.semasleep
         0     0% 94.42%     0.31ms  6.40%  runtime.semawakeup
         0     0% 94.42%     0.97ms 20.04%  runtime.stackalloc
         0     0% 94.42%     0.97ms 20.04%  runtime.stackcacherefill
         0     0% 94.42%     0.39ms  8.06%  runtime.startm
         0     0% 94.42%     0.89ms 18.39%  runtime.sysmon
         0     0% 94.42%     0.03ms  0.62%  runtime/pprof.newProfileBuilder
         0     0% 94.42%     0.03ms  0.62%  runtime/pprof.profileWriter
         0     0% 94.42%     0.04ms  0.83%  strconv.Itoa
         0     0% 94.42%     0.06ms  1.24%  sync.(*Once).Do
         0     0% 94.42%     0.05ms  1.03%  time.(*Location).get
         0     0% 94.42%     0.28ms  5.79%  time.Now
         0     0% 94.42%     0.05ms  1.03%  time.Time.abs
         0     0% 94.42%     0.05ms  1.03%  time.Time.date
         0     0% 94.42%     0.05ms  1.03%  time.initLocal
         0     0% 94.42%     0.05ms  1.03%  time.loadLocation
         0     0% 94.42%     0.03ms  0.62%  time.loadTzinfo
         0     0% 94.42%     0.03ms  0.62%  time.loadTzinfoFromDirOrZip
         0     0% 94.42%     0.28ms  5.79%  time.now
         0     0% 94.42%     0.03ms  0.62%  time.readFile
